Ind;Cuenca;Nombre Estación;Provincia;x (Uso 30);y (Uso 30);Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
0070;Pirineos;CUBELLES (SALINES);BARCELONA;889936;4571535;38.4;29.5;28.5;35.3;40.6;22.6;14.8;57.1;78.5;78.4;48.1;40.7
0072O;Pirineos;CANYELLES;BARCELONA;896066;4580407;42.1;32.6;35.3;45.6;50.0;25.2;17.0;59.6;73.8;88.9;55.3;41.4
0073U;Pirineos;SITGES (AIGUADOLÇ);BARCELONA;904280;4576279;35.4;25.9;26.0;40.4;39.1;20.9;13.2;53.3;76.7;71.8;46.9;35.1
0073Z;Pirineos;GAVA (MIRANDA);BARCELONA;918714;4584897;47.8;41.6;42.0;44.3;50.9;27.7;20.6;57.8;84.3;98.1;64.3;45.3
0076;Pirineos;BARCELONA/AEROPUERTO;BARCELONA;924575;4583678;37.7;37.0;35.5;40.4;47.3;29.6;20.7;62.0;81.0;91.0;58.8;40.5
0082;Pirineos;BAGA (COL.LEGI GALCERAN DE PINOS);BARCELONA;900999;4689532;44.0;25.7;36.0;68.7;81.4;75.2;61.8;80.1;68.2;75.3;66.2;50.5
0097;Pirineos;CASERRES;BARCELONA;900868;4662687;36.0;25.3;35.9;58.8;81.5;64.4;48.0;78.2;73.0;70.7;55.9;41.3
0098;Pirineos;PUIG-REIG;BARCELONA;904945;4658802;39.6;24.8;34.7;56.9;77.1;54.6;47.6;72.3;73.4;69.2;51.5;41.9
0099;Pirineos;BORREDA (PUIGCERCOS);BARCELONA;917134;4677313;45.9;34.0;43.1;74.5;105.6;86.0;61.2;103.7;108.2;83.9;70.8;57.4
0106;Pirineos;BALSARENY;BARCELONA;904873;4645890;33.7;24.3;31.5;52.3;71.0;55.9;32.7;56.6;66.7;64.5;46.9;36.6
0110;Pirineos;SALLENT (POTASSES);BARCELONA;906651;4641101;28.6;23.9;29.4;46.3;64.6;43.7;30.2;48.8;69.6;63.6;45.0;33.2
0114;Pirineos;PRATS DE LLUÇANES;BARCELONA;916411;4662997;36.7;24.6;33.4;55.0;77.1;70.4;53.2;72.9;80.3;65.3;48.0;39.4
0120;Pirineos;MOIA;BARCELONA;923400;4641830;39.2;35.4;39.1;57.8;81.2;59.3;42.1;64.9;68.4;80.2;56.2;42.6
0121;Pirineos;MOIA (LA GROSSA);BARCELONA;918434;4639616;37.4;31.1;35.1;56.8;68.1;53.7;35.4;54.7;68.4;75.3;52.9;39.6
0131;Pirineos;RINER (XIXONS);LLEIDA;879353;4653332;29.3;21.9;30.3;51.2;63.5;50.3;30.0;49.6;64.7;63.0;49.2;37.4
0131U;Pirineos;SOLSONA (BOMBEROS);LLEIDA;872424;4659028;32.6;23.8;32.3;61.2;65.4;52.1;33.2;55.7;68.7;64.4;51.3;39.8
0134E;Pirineos;BUSA;LLEIDA;880534;4669578;38.1;29.5;40.9;74.1;91.1;77.9;45.1;101.3;89.6;79.0;68.2;51.4
0142;Pirineos;VIVER I SERRATEIX;BARCELONA;895258;4655253;31.6;23.7;31.5;50.3;68.6;51.2;32.9;53.0;57.8;64.1;45.6;34.9
0144;Pirineos;CALLUS;BARCELONA;897452;4638724;34.2;24.5;29.7;48.3;67.3;49.7;26.9;52.8;59.6;70.0;48.5;31.2
0149C;Pirineos;MANRESA (ESCOLA POLITECNICA);BARCELONA;900529;4630540;30.1;25.6;29.7;44.3;59.6;46.1;24.7;56.3;58.4;65.8;49.7;37.3
0149D;Pirineos;MANRESA (LA CULLA);BARCELONA;902587;4630223;31.3;27.1;30.7;45.9;56.1;48.8;25.7;56.4;58.6;70.1;49.1;35.9
0150;Pirineos;AGUILAR DE SEGARRA;BARCELONA;885286;4632487;40.9;28.2;36.3;53.6;70.4;51.8;26.3;49.6;66.9;71.2;54.5;44.3
0158O;Pirineos;MONTSERRAT;BARCELONA;903464;4616282;39.7;33.9;40.7;52.0;61.5;45.2;23.5;52.6;72.3;82.5;60.4;46.7
0160E;Pirineos;OLESA DE MONSERRAT (AFORES);BARCELONA;908784;4612219;40.1;33.1;39.0;50.9;60.4;36.6;21.9;53.6;67.5;83.5;56.2;43.9
0161;Pirineos;EL BRUC;BARCELONA;898531;4614335;42.6;35.6;46.7;58.5;67.7;49.3;21.3;52.9;75.0;89.1;61.1;50.3
0163A;Pirineos;ESPARREGUERA (AIGÜES);BARCELONA;905974;4610109;39.2;31.3;37.5;48.7;57.8;39.6;20.9;55.5;66.9;77.9;55.0;42.9
0171C;Pirineos;IGUALADA (AJUNTAMENT);BARCELONA;885054;4613507;36.5;28.6;33.0;43.4;55.5;37.3;24.1;47.4;68.3;65.7;54.6;36.7
0172U;Pirineos;PIERA (CAN' AGUILERA);BARCELONA;895998;4611379;39.3;32.0;39.7;54.6;62.3;43.1;21.4;48.8;71.3;81.3;56.7;42.5
0180;Pirineos;SANT QUINTI DE MEDIONA;BARCELONA;889510;4600690;43.2;32.7;38.9;50.0;55.6;41.4;17.8;50.6;74.2;82.0;57.7;45.8
0181;Pirineos;SANT SADURNI D(ANOIA;BARCELONA;900706;4598209;41.0;34.3;38.2;46.2;50.4;29.1;16.7;46.0;70.2;83.0;57.9;42.1
0189A;Pirineos;TERRASSA (PLAÇA DE LA CREU);BARCELONA;918633;4614395;44.4;37.4;41.0;56.9;63.5;39.6;23.8;51.4;74.8;83.7;69.1;48.7
0190;Pirineos;RUBI;BARCELONA;919874;4605087;43.2;33.7;38.1;50.4;55.8;32.5;20.2;50.3;67.4;80.7;68.3;46.0
0198I;Pirineos;ESPLUGUES DE LLOBREGAT (FINESTRELLES);BARCELONA;925291;4594135;46.8;42.3;40.1;47.4;50.9;26.4;23.9;48.6;79.5;94.1;61.0;44.3
0200E;Pirineos;BARCELONA (FABRA);BARCELONA;928286;4597891;50.1;43.2;44.5;52.7;57.8;29.8;23.7;41.4;74.9;91.3;65.6;46.2
0200R;Pirineos;BARCELONA (CAN BRUIXA);BARCELONA;929361;4594314;43.0;39.3;38.4;43.7;48.0;25.4;23.7;45.4;73.6;91.4;54.2;41.1
0202;Pirineos;BESOS;BARCELONA;933529;4602583;38.8;34.1;30.5;33.8;44.0;30.9;13.2;43.4;58.4;74.2;47.9;36.0
0203;Pirineos;ELS HOSTALETS DE BALENYA;BARCELONA;936632;4647057;45.7;33.5;37.0;55.5;76.3;61.3;40.3;61.5;77.9;80.1;46.7;48.6
0204;Pirineos;CENTELLES;BARCELONA;934462;4640886;48.6;37.4;40.2;60.4;77.8;53.0;33.0;54.7;77.4;85.2;60.8;55.1
0208;Pirineos;GRANOLLERS;BARCELONA;940951;4619820;46.8;39.1;43.9;48.5;57.8;40.7;28.5;49.9;70.6;80.4;62.2;41.6
0211;Pirineos;LLINARS DEL VALLES;BARCELONA;949440;4623847;55.0;51.5;54.3;55.5;60.3;50.3;26.3;53.8;72.6;89.8;64.8;53.0
0213;Pirineos;CARDEDEU;BARCELONA;946495;4623384;55.7;46.0;48.6;57.0;61.9;51.5;27.1;54.7;75.2;88.4;66.8;52.2
0218D;Pirineos;PARETS DEL VALLES;BARCELONA;936150;4616212;44.4;40.5;41.8;53.3;68.1;40.8;23.1;49.8;83.6;86.0;69.5;48.1
